ID	Text	Label	Explanation
11	"Norma,

The need for a new position within the research group has evolved along with 
our expanding responsibilities, and we would like to fill that position with 
an already on-board employee familiar with same, that person being William 
(Sam) Smith.

The new position created it that for a Staff Specialist, who would be 
responsible for technical duties including evaluation and quality control of 
weather forecasting procedures, design and preparation of  the research 
Intelligence Intelligence newsletter, operational responsibilities related to 
Morning Report assembly, and hurricane season surveillance as well as 
satellite system supervision..

We would like to make this retroactive to January 1st of this year.

- - -  Mike Roberts"	NOT SENSITIVE	
12	"Krishna,

Please,  confirm with Hill Huntington.


Vince





Pinnamaneni Krishnarao
03/19/2001 09:28 AM
To: Vince J Kaminski/HOU/ECT@ECT
cc:  
Subject: Re: RTP project  

Yes, I would be definitely interested. Count me and Osman also to 
participate. I will forward your email to others in EES who might be 
interested also.
Krishna.



Vince J Kaminski
03/19/2001 08:12 AM
To: John Henderson/HOU/EES@EES, Pinnamaneni Krishnarao/HOU/ECT@ECT
cc: Vince J Kaminski/HOU/ECT@ECT, Shirley Crenshaw/HOU/ECT@ECT 
Subject: RTP project

John and Krishna,

I am sending you an outline of a conference at Stanford on topics related to 
demand-side pricing and management in the power markets.

Please, let me know if you are personally interested and who else
in your respective  organizations would like to attend.

Vince

---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 03/19/2001 
08:10 AM ---------------------------


Hill Huntington <hillh@stanford.edu> on 03/15/2001 05:26:55 PM
To: vkamins@enron.com
cc:  
Subject: RTP project


Vince,

Targetted conference date is Th-F June 21-22 at Stanford.  Enclosed in the
recent revision to what I sent before.

Great to meet you,
Hill

 - retail notes.rtf
*******************************************************************
Hillard G. Huntington
EMF - an international forum on
energy and environmental markets Voice:  (650) 723-1050
408 Terman Center    Fax:    (650) 725-5362
Stanford University   Email:  hillh@stanford.edu
Stanford, CA  94305-4026

EMF Website: http://www.stanford.edu/group/EMF/"	SENSITIVE	The email contains professional roles and affiliations, which could lead to unintended inferences or privacy risks.
13	"For some reason, the time management function on eHRonline won't allow me to 
log in. It says the user is locked and to please notify the person 
responsible. I'm using the user ID and password you gave me, so I don't know 
what I'm doing wrong. This is not an urgent matter - just respond whenever 
you have time."	SENSITIVE	This contains explicit sensitive information, including login credentials and a reference to a system (eHRonline) that could be proprietary business information. Additionally, it implies the user's professional role or access to confidential information, which could be considered subtle sensitive information.
14	"This message is for all continuing Evening MBA Students.

Please read the attached memo regarding the Transportation Commitment Forms 
for Spring 2001. Then fill out the attached Form (or pick one up in the 
Office) and return it to the Evening MBA Program Office by Friday, November 
17.

Thank you very much for your time.? Please feel free to contact me with any 
questions.

Meg St. John
Assistant Director, Evening MBA Program
(510) 642-1406
 - SpTransportation.doc"	SENSITIVE	This message contains personal and business-sensitive details such as the contact information of the Assistant Director, including her name, phone number, and the mention of an attached memo and form, which could contain confidential information.
15	"Think you're really funny?  Then show us!  Enter the latest Enron Business 
Top 10 contest and let us know what you think Enron's New Year's resolutions 
should be.  (We'll choose ten winners, so only one resolution per person, 
please.)  There may not be flashing lights and balloon drops if you win, but 
you will get your name published and a $25 gift certificate to the Signature 
Shop!

Enter the Enron Business Top 10 contest in the print publication or through 
the online version (go to home.enron.com, click on Publications, then on 
Enron Business and Volume 6, 2000).  Deadline is Friday, January 19.

Good luck!"	NOT SENSITIVE	
16	"Please wire $235,840,000 Cdn on Friday Sept 22 to:

Balancing Pool
Toronto Dominion Bank
Transit:  80609-004
Account:  349820

Also please wire $58,960,000 Cdn to Enron Canada Corp. as per the wire 
instructions in the attached file.



Please call me tomorrow at (403) 974 -6728 to confirm that the money has left 
your account. 
---------------------- Forwarded by Laura E Scott/CAL/ECT on 09/21/2000 09:07 
AM ---------------------------


Soma Ghosh
09/20/2000 10:15 AM
To: ""Fleming, Blair "" <BLAIR.FLEMING@ROYALBANK.COM>, ""Ellison, Mike"" 
<Mike.Ellison@rbcds.com>, ""McArthur, Ian "" <IAN.MCARTHUR@ROYALBANK.COM>
cc: Brian Kerrigan/HOU/ECT@ECT, Catherine Clark/HOU/ECT@ECT, Sara 
Shackleton/HOU/ECT@ECT, Laura E Scott/CAL/ECT@ECT, Robin Veariel/HOU/ECT@ECT, 
Derek Davies/CAL/ECT@ECT, Sara Shackleton/HOU/ECT@ECT, Peter 
Keohane/CAL/ECT@ECT, Pushkar Shahi/HOU/ECT@ECT 
Subject: 

Please would you please provide a name within RBC for our Treasury group to 
contact re. transfer of funds. 

The full amount will be C$294,800,000 (interest rate swap cashflows will 
require re-adjustment, Mike E has asked that these be forwarded to Tracy-RBC 
internal Legal for interest rate schedule) 

We would like C$235,840,000 to be transferred directly to Govt of Alberta on 
behalf of Enron Canada Power 
C$58,960,000 to Enron Canada.

Full detailed instructions will be provided by Laura Scott tel: 403 974 6728

As discussed with Mike, the interst rate swap will be fixed Thursday 
afternoon, & funds transferred early on Friday 22 

Regards,

Soma"	SENSITIVE	This text contains explicit financial information, including specific amounts of money to be wired, bank account details, and instructions for transferring funds. Additionally, it includes a phone number for confirming the transfer, which could be considered sensitive information.
17	"Re: your comment on this today.  Unbelievable!!!  What a ton of _____.  Lets 
talk.  DF )by the way, whats a PAJE?  DF  
---------------------- Forwarded by Drew Fossum/ET&S/Enron on 04/10/2000 
01:11 PM ---------------------------
   
	
	
	From:  Bob Chandler                           04/10/2000 10:05 AM
	

To: Rod Hayslett/FGT/Enron@Enron
cc: Allison Millan/ET&S/Enron@ENRON, Harry Walters/ET&S/Enron@Enron, Mary Kay 
Miller/ET&S/Enron@ENRON, Drew Fossum/ET&S/Enron@ENRON 

Subject: 1999 NNG & TW Audited Financial Statements

Heather Mueck (AA) advised me this morning that in spite of our recent letter 
order from the FAO by Jim Guest, AA still does not believe we have enough 
evidence (other than our own opinion) to justify regulatory asset treatment 
for the Y2K costs.  While this position is consistent with what they had told 
us before we made the filing, they had given us no clue last week when they 
were providing their comments on our browncover drafts that they still had a 
problem with the Y2K assets--even when they were relaying Roger Willard's 
comments.

The bottom line is that they will have a PAJE on Northern for the amount of 
the asset  (aproximately $3.6MM), but the amount on TW (less than $.5MM) is 
so small they will pass on it.  As I understand it, that won't preclude a 
clean opinion on NNG this year, but the PAJE will continue in future years' 
audits until the asset is approved for recovery in Northern's next general 
rate case.  Therefore, if we have additional Northern PAJE's in future years, 
the combined effect would be used to determine whether or not a clean opinion 
would be appropriate in those years.

I assume we will suffer the scarlet letter of the multi-year PAJE, rather 
than write off the reg asset in the 1999 Brown Cover and be required to flow 
the write-off through consolidated earnings (and internal scorekeeping) in 
the year 2000."	SENSITIVE	This message contains proprietary business information, including financial details, regulatory asset treatment, and internal scorekeeping, which should not be publicly disclosed.
18	"In an attempt to continue cross training on our desk,  Jackie and Susan will 
be switching duties.
Jackie will start training on Susan's desk and Susan on Jackie's and the 
transition will last most
of March and they will finalize it with April business.  It is important that 
we start communicating the
changes to our customers and make it as smooth as possible on them.  Thanks,  
Pat"	NOT SENSITIVE	
19	"Frank:
I spoke with her attorney yesterday and believe that I addressed her concerns 
with the ETA, GTC and Password Application forms.  She is going to add 
language to the Password Application that makes it clear that any GTC is 
considered to be ""signed"" and ""in writing"" if they are required by the 
Website to click on it.  Her main concern given the fact that we now have a 
Master in place with them is that they are not asked to accept the terms of a 
GTC and I assured her that so long as she has a Master in place that covers 
the product that she wants to trade that they will not be asked to accept a 
GTC.  Anyway, putting this language in the PA seemed to make her feel 
better.  Once you receive the PA from her why don't you fax it to me  and I 
will let you know if it is acceptable.

Also, as I discussed with Stephanie yesterday, they wanted to do a ""test"" run 
on the Website to check to make sure that they would not be asked to accept a 
GTC.  I told her that the only way to do this would be to click on a product 
description once they get their password.  I understand that you and Tana 
will coordinate with each other when the time comes to make sure that the 
ISDA Master that they executed gets coded into the Website at the proper time 
so that when they do click on a product description, no GTC appears.

Please call me if you have any questions. 

Carol St. Clair
EB 3892
713-853-3989 (Phone)
713-646-3393 (Fax)
carol.st.clair@enron.com"	SENSITIVE	This text contains sensitive information such as names, phone numbers, email addresses, and discussions about legal and business agreements, which could pose privacy and security risks if publicly disclosed.
20	"Team Vitro:

I wanted to run these changes by you before sending them to Jeff Smith.

Jeff S. has lobbied for deleting the language on assignment, and state that 
assignment of the consolidation agreement will be subject to the same terms, 
etc. as the other 2 contracts.  He also provide alternative language which 
appears to be close to what was in the previous draft. Since I didn't know 
the genesis of the language in the consolidation agreement, so I thought I 
would check with you first.

I eliminated 5 (a) because the contracts allow for partial termination."	SENSITIVE	This text contains proprietary business information, including details about contractual changes, specific individuals involved, and the reasoning behind certain decisions. It also hints at the existence of previous drafts and contractual terms, which could be sensitive if disclosed publicly.
21	"Jeff,

I am a YPOer in the Rebel Chapter who was given your name from an IOS source
as someone who could potentially help in this situation. As background, I
sent this IOS request out last week:

Description of Situation
My highway construction company has been negatively impacted by price
volatility in energy prices (fuel, natural gas, and asphalt cement). We
offer long term, fixed price contracts to our clients yet must purchase our
petroleum and energy-related products at spot market prices. Thus we are
exposed to significant price adjustment risks.

Type of Feedback Requested:
Does anyone have experience using commodity contracts as an arbitrage
strategy to offset the risks of potential price volatility in the energy
sector? If so, do you have specific recommendations for how we should
proceed?

Thank you for any information you can offer.

As I have investigated this further, I find no one in this industry (highway
construction) who is purchasing futures to mitigate their energy cost
exposure. I have spoken with folks who are doing this in the building supply
sector with lumber futures.

Do you have any thoughts or suggestions in this matter? Any input would be
greatly appreciated.

Many thanks,

Michael Mangum
Rebel Chapter

President/CEO
The Mangum Group, Inc.
PO Box 31768
Raleigh, NC 27622-1768

919.571.7605 Phone
919.510.6740 Fax
919.868.8179 Mobile
919.845.3497 Home"	SENSITIVE	This email contains multiple pieces of sensitive information, including the sender's full name, professional title, company name, business address, phone numbers, and email addresses. Additionally, it discusses the company's exposure to significant price adjustment risks, which could be considered proprietary business information.
22	"Porter and the whole gang called me while you were at lunch MKM.  I'll give 
you a full report when I get off this conf. call but short answer is they 
don't want to meet next wk and want us to provide a bunch more info and then 
meet.  DF"	NOT SENSITIVE	
23	"Attached is the latest file on capacity.  I have updated the C&I list for
releases from O&R on Columbia Gulf and TCO, from BUG on TETCO and from LILCO 
on
Transco.  I have updated the Choice list for releases from Atlanta on CNG,
Sonat, South Georgia and Transco.   On the Wholesale list, I have reflected 
the
releases that we have made on Columbia Gulf, TCO and TETCO from capacity
associated with the Penn Fuel asset management deal and for the release from
South Jersey on Transco.  All of these changes are highlighted in blue.  The
following releases have not yet taken place for 1/2000, but should happen on
Monday or Tuesday:

C&I

CNG - Release from Hope for sale to Bayer
CNG - NiMo customers
TCO - Release from Eagle Point for sale to COH customers
TETCO - Dayton Power & Light customers
Texas Gas - Dayton Power & Light customers
Transco - PSNC customers
Trunkline - Dayton Power & Light customers


Choice

East Tennessee - Atlanta customers
Midwestern - NIPSCO customers
NGPL - NIPSCO customers
Tennessee - Atlanta customers

If you have any questions, please call Scott Goodell or myself.


 - Transport Master List for                     Enron.xls"	NOT SENSITIVE	
24	"""A man with a new idea is a crank until he succeeds.""
-Mark Twain

Innovation, itself, is nothing new.  The word comes to us from the Latin 
innovatus, which is a good indication of how long the concept has been 
around.  People have been searching for the ""next big thing"" for thousands of 
years.

We have quite a tradition of innovation here at Enron.  Although consistent 
innovation may sound like an oxymoron, we pride ourselves on consistently 
outpacing our peers with innovative ideas.

How do you think Enron can maintain its edge into the new century?  What will 
be our ""next big thing?""  Put your best foot forward, visit eMeet and share 
your ideas in ""Creativity and Innovation"" that will keep Enron at the top."	NOT SENSITIVE	
25	"Return Receipt

    Your      FW: Reliant UCC filing
    document
    :

    was       Man Wai Lau/NY/CWT
    received
    by:

    at:       11/26/2001 11:05:58 AM






==============================================================================
NOTE:  The information in this email is confidential and may be legally privileged.  If you are not the intended recipient, you must not read, use or disseminate the information.  Although this email and any attachments are believed to be free of any virus or other defect
that might affect any computer system into which it is received and opened, it is the responsibility of the recipient to ensure that it is virus free and no responsibility is accepted by Cadwalader, Wickersham
& Taft for any loss or damage arising in any way from its use.


=============================================================================="	SENSITIVE	This email contains legal information and a disclaimer about confidentiality, indicating that the content may be legally privileged. It also includes a specific date and time of receipt, which could be sensitive in the context of legal proceedings or confidential communications.
26	"You are the best.  I sit on 32 now, 2376c to be exact.  When you hit the top 
of the stairs hang a left then turn left at the next possible opening.  I'll 
flag you down.  However, I would be more than happy to come down and pick up 
the check.  Just let me know what works best for you.




Homer Lin
05/15/2000 11:04 AM
To: Susan M Scott/HOU/ECT@ECT, Harry Bucalo/HOU/ECT@ECT
cc:  
Subject: Paychecks

Where you sit now?  I have your paychecks.

I will deliver.

Homer"	SENSITIVE	"This text contains explicit personal information such as the sender's full name, the mention of paychecks, and specific location details (""32 now, 2376c""). The mention of delivering paychecks also implies access to financial information, which is sensitive."
27	"Vince:

They are already asking for evaluations on the following individuals most
of whom were just interviewed yesterday!  However, I do not know who
Bruce Kamich is - I don't remember his interview at all.

Can you give me something to tell Toni.

Thanks!


---------------------- Forwarded by Shirley Crenshaw/HOU/ECT on 07/28/2000 
11:17 AM ---------------------------
   
	Enron North America Corp.
	
	From:  Toni Graham @ ENRON                           07/28/2000 02:39 AM
	

To: Shirley Crenshaw/HOU/ECT@ECT
cc:  
Subject: Candidate Decisions

Shirley,

Could you please give me a Yes, No, Maybe decision on the following 
candidates interviewed:

Bruce Kamich
Philip Roan
Jerzy Jarosz 
Bruce James
Oleg Bondar

Thanks
Toni"	SENSITIVE	This email contains names of individuals who were interviewed, which is considered personal information and should not be publicly disclosed.
28	"Wes,
As we discussed on Friday, I think that there is merit to your arguments 
regarding the release in prudency in North America.  However, this may alter 
the way we articulate the relative liquidity of our positions to banks and 
ratings agencies.  De facto, we will be saying that our balance sheet and 
income statement reflect an ability to liquidate gas and power in North 
America at the mid with no adverse effects.  While this may be true, 
typically these types of institutions see the result of liquidating much more 
liquid portfolios, i.e., they will not believe that we have perfect 
liquidity.  I believe that we can satisfy both accounting and credit 
considerations if we maintain an ability to calculate an ""orderly 
liquidation"" under a negative pricing scenario (basically, multiple horizon 
VAR against a liquidating position).  This is what we showed Moody's last 
month.  The main difference is that the resulting number will be a hit to p&l 
as opposed to having reserves against it.  This is a long way of saying that 
I think it would be a good idea to discuss prudency methodology with both RAC 
and Treasury once you have finalized a course of action.
Ted"	SENSITIVE	The text contains proprietary business information, including discussions about balance sheets, income statements, and methodologies for discussing prudency with specific departments within the company. These details could potentially reveal confidential business operations and strategies.
29	"Shari Stack has resigned but Marcus Nettelton has been appointed to take over 
from the physical power side.  I'll sit down with him today and get him up to 
speed.



	Andy Zipper/ENRON@enronXgate
	03/15/2001 09:02 AM
		 
		 To: Mark Taylor/HOU/ECT@ECT
		 cc: 
		 Subject: FW: Spreads for West power

Do you know anything about this ? Do you think we will be in shape to lanuch 
these on Monday ?

 -----Original Message-----
From:  Puthigai, Savita  
Sent: Wednesday, March 14, 2001 6:10 PM
To: Zipper, Andy
Subject: RE: Spreads for West power

We should have the first one out Monday if we can get legal to sign off. 
Apparently the person handling long descriptions for physical products quit 
and we have no replacement to look at the descriptions.

Savita

 -----Original Message-----
From:  Zipper, Andy  
Sent: Wednesday, March 14, 2001 5:53 PM
To: Puthigai, Savita
Subject: Spreads for West power

Where are we on this ?"	SENSITIVE	The text contains professional roles and activities that suggest access to confidential information, including the resignation of an employee and the appointment of a replacement, as well as legal and business operations related to physical power products. These details could lead to unintended inferences or privacy risks.
30	"Kevin,

I would like to see the expense reports to monitor
the rate at which we approach our group budget limits.

Thanks.

Vince





Kevin G Moore
02/22/2000 08:48 AM
To: Vince J Kaminski/HOU/ECT@ECT, Mike A Roberts/HOU/ECT@ECT, Shirley 
Crenshaw/HOU/ECT@ECT
cc:  
Subject: Signature's

Hello Everyone ,

Starting Today , 2/22/00  Mike Roberts signed a expense report.

Vince, I need to know from you if this is okay and do you want to see
them ?

Also Shirley , if Mike signs for anything else other than a expense report ,
 I will pass it by your desk whereby you can know exactly what it is.

                            
                                        Thanks
                                     Kevin Moore
Please inform........"	SENSITIVE	This email contains business-sensitive information related to expense reports, budget limits, and the signing of expense reports by specific individuals. It also includes the names and email addresses of the recipients, which are considered personal details.
31	"Danielle

FYI. This is the information regarding the best hotel
for the meeting on December the 6th, 9:00 - 12:00.

Vince


http://www.innatpenn.com/contact.html
THE INN AT PENN
                                   Sansom Common, 3600 Sansom Street
                                   Philadelphia, PA. 19104
                                   Phone: 1-800-809-7001
                                   Fax: 215-222-4600


Please, mention that the stay is related to the University business
when making the reservation.
Tom Piazze at Wharton can confirm it.
Tom Piazze
Phone: (215) 898 1615
piazzet@wharton.upenn.edu"	SENSITIVE	This text contains explicit sensitive information such as the name of the hotel, its address, phone number, fax number, and contact details for Tom Piazze at Wharton, which are all related to business operations and should not be publicly disclosed.
32	"---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 10/12/2000 
04:24 PM ---------------------------


""Julie"" <julie@lacima.co.uk> on 10/11/2000 05:32:56 AM
To: ""LC"" <les@lacimagroup.com>, ""VinceJKaminski"" <Vince.J.Kaminski@enron.com>
cc:  
Subject: Fw: EPRM article



Any feedback on the latest article from Chris for EPRM??  Please let me know 
when I can expect some feedback so I can get back to EPRM,  since they are 
going to press in a week.
?
Thanks,
Julie
?
?
----- Original Message -----  
From: Robin  Lancaster 
To: Julie 
Sent: Wednesday, October 11, 2000 10:52 AM
Subject: EPRM article

Julie
I know that Chris is away and so siad to contact  you with any problems. Just 
want to know the status of the article for this  month? The last e-mail from 
Chris said it was getting a final look over from  Vince Kaminski and I should 
expect it a few days and that was last Thursday. Any  news, as we're due to 
go to press in a week and a day.
Robin"	SENSITIVE	This email contains personal and professional information, including email addresses, names, and details about a press release, which could be considered proprietary business information.
33	"Eileen, our Gas Control records indicate the following rate changes for March
26, 2001 flow:
20,000 rate 0900 to 1400 (5hrs);
40,000 rate 1400 to 0100 (11hrs)
Nom. for the day:  22,500 MMBTU.
Please call me to see if we can agree on the total nom.
I can be reached at 214-812-4404.





""Eileen Ponton"" <kponton@duke-energy.com> on 03/27/2001 09:39:00 AM

To:   David Avila/LSP/ENSERCH/US@TU, Charlie Stone/Texas Utilities@TU, Melissa
      Jones/Texas Utilities@TU, HPL.SCHEDULING@ENRON.COM, 
LIZ.BELLAMY@ENRON.COM
cc:
Subject:  NOMS/ACTUAL VOLS FOR 3/26/01



NOM       MCF       MMBTU
24,167         21,820         22,409

BTU = 1.027


NOTE:  No changes to flow rates for 3/23 thru 3/25............."	SENSITIVE	This email contains personal and business-sensitive details such as names, email addresses, phone numbers, and gas flow rate changes, which should not be publicly disclosed.
34	"The All-Employee Meeting will be held Tuesday, Oct. 23, at 10 a.m. Houston time at the Hyatt Regency Houston Imperial Ballroom.  

As one of the enhanced security measures we have recently employed, we will be checking employee badges at the entrance to the ballroom.  All employees will be required to present a valid Enron badge with a photo.  If you do not currently have a photo on your badge, please go to the badge office on the third floor of the Enron Building and have your photo added to your badge.  We also suggest allowing a bit more time in getting to the Hyatt and we request your patience, as these security measures may create some backup at the entrance to the ballroom.

Accessing the Meeting via Streaming Audio/Video
If you are a Houston-based employee and can't attend the meeting, or if you are located in London, Calgary, Toronto, Omaha, New York or Portland (ENA), you can access the live event at <http://home.enron/employeemeeting>.  Enron Europe employees will receive a follow-up message from their Public Relations team concerning online access to the meeting.

Video Teleconferencing
The meeting will be made available by video teleconference to employees in Sao Paulo, Buenos Aires, Dubai, Rio de Janeiro, Bothell, Wash., Denver, San Ramon, Calif., and Chicago.  If your location would like to participate by video teleconference, please contact Yvonne Francois at (713) 345-8725."	SENSITIVE	This text contains explicit sensitive information such as the date, time, and location of the all-employee meeting, as well as instructions for employees to present valid Enron badges with photos. Additionally, it provides details about accessing the meeting via streaming audio/video and video teleconferencing, which could reveal sensitive business operations and locations of employees.
